OBJECTID,LabID,Age,Error,Material,Taxa,d13C,Method,Long,Lat,LocAccuracy,Period,SiteID,SiteName,Country,Province,Continent,Source,Reference,calib,NEAR_FID,NEAR_DIST
37469,Beta-74744/84874à,6780,70,CHARCOAL,hickory nutshell/oak,NA,RADIOMETRIC,-90.17723763,38.27881577,1,NA,11MO841,Strong,USA,Illinois,North America,UWyo2021,Adams et al. 1997; McElrath et al. 2009,intcal20,162717,896803.704091355
37471,Beta-74745/84745à,6760,70,CHARCOAL,walnut and hickory nutshell,NA,RADIOMETRIC,-90.17723763,38.27881577,1,NA,11MO841,Strong,USA,Illinois,North America,UWyo2021,Adams et al. 1997; McElrath et al. 2009,intcal20,162717,896803.704091355
37618,Beta-75394,200,50,CHARCOAL,NA,-29.2,NA,-89.89550852,35.18413891,1,NA,40SY527,Fulmer,USA,Tennessee,North America,UWyo2021,Weaver et al. 1999,intcal20,162717,540209.847073691
37619,Beta-75395,430,70,CHARCOAL,NA,-26.9,NA,-89.89550852,35.18413891,1,NA,40SY527,Fulmer,USA,Tennessee,North America,UWyo2021,Weaver et al. 1999,intcal20,162717,540209.847073691
37620,Beta-75396,980,60,CHARCOAL,NA,-27.7,NA,-89.89550852,35.18413891,1,NA,40SY527,Fulmer,USA,Tennessee,North America,UWyo2021,Weaver et al. 1999,intcal20,162717,540209.847073691
37814,Beta-76207,490,70,CHARCOAL,NA,NA,AMS,-89.90517719,38.82984438,1,NA,11MS1380,GCS#1,USA,Illinois,North America,UWyo2021,Jackson et al. (2014),intcal20,162717,955851.102518627
37815,Beta-76208,340,50,CHARCOAL,NA,NA,AMS,-89.90517719,38.82984438,1,NA,11MS1380,GCS#1,USA,Illinois,North America,UWyo2021,Jackson et al. (2014),intcal20,162717,955851.102518627
37934,Beta-76478,720,60,CHARCOAL,charred wood and grass,-28,AMS,-89.25512379,37.47145953,1,NA,11U635,Dillow's Ridge,USA,Illinois,North America,UWyo2021,Cobb and Butler 2002,intcal20,162716,789348.991068609
37935,Beta-76479,440,70,CHARCOAL,NA,-27.4,AMS,-89.25512379,37.47145953,1,NA,11U635,Dillow's Ridge,USA,Illinois,North America,UWyo2021,Cobb and Butler 2002,intcal20,162716,789348.991068609
37936,Beta-76480,370,60,CHARCOAL,NA,-24.3,AMS,-89.25512379,37.47145953,1,NA,11U635,Dillow's Ridge,USA,Illinois,North America,UWyo2021,Cobb and Butler 2002,intcal20,162716,789348.991068609
38371,Beta-78609,1670,70,CHARCOAL,wood/nutshell,NA,AMS,-92.20770171,37.82475193,1,NA,23PU235,Sadie's Cave,USA,Missouri,North America,UWyo2021,Reeder 2000 Ahler et al. 1995b,intcal20,163104,885711.886703113
