Site,County,State,Inclusion2,Inclusion,BP,PeriodID,PeriodID2,TimeID,Nuts,EAC,IP,IP Source,CultIndex,MesoIndex,MesoIndex2
Birdwell,Greene,TN,0,0,1900,3400-1900,1,1500,860,210,4,,0.199255121,0.003724395,
Fernvale,Williamson,TN,0,0,1900,3400-1900,1,1500,1847,0,0,,0,0,
Owl Hollow,Franklin,TN,0,0,1750,1899-1250,2,1500,36576,185,0,,0.005032507,0,
Banks III,Coffee,TN,0,0,1500,1899-1250,2,1500,17699,0,0,,0,0,
Banks V,Coffee,TN,0,0,1500,1899-1250,2,1500,23031,5,0,,0.000217052,0,
Eoff I,Coffee,TN,0,0,1500,1899-1250,2,1500,19860,1,0,,5.03E-05,0,
Peters,Franklin,TN,0,0,1500,1899-1250,2,1500,22015,488,10,,0.022120553,0.000444188,
Raus,Bedford,TN,0,0,1500,1899-1250,2,1500,284,55,0,,0.162241888,0,
Shofner,Bedford,TN,0,0,1500,1899-1250,2,1500,6484,315,4,,0.046891077,0.000587976,
Westmoreland-Barber,Marion,TN,0,0,1285,1899-1250,2,1000,80904,821,74,,0.010941454,0.000904657,
40HW30,Hawkins,TN,0,0,1250,1249-900,3,1000,1248,0,0,,0,0,
Parks,Coffee,TN,0,0,925,1249-900,3,1000,279,14,0,,0.04778157,0,
Sogom,Davidson,TN,0,0,900,1249-900,3,1000,536,0,4,,0.007407407,0.007407407,
Brandywine Pointe,Davidson,TN,0,0,890,899-750,4,1000,118,5,43,,0.289156627,0.259036145,
Parks,Coffee,TN,0,0,850,899-750,4,1000,1134,1,17,,0.015625,0.014756944,
Birdwell,Greene,TN,0,0,775,899-750,4,1000,1539,6,135,,0.083928571,0.080357143,
40BT47,Blount,TN,0,0,755,899-750,4,1000,589,6,1325,,0.693229167,0.690104167,
Childers,Mason,WV,0,0,1500,1899-1250,2,1500,28764,6248,14,,0.178781477,0.000399703,
